station_id,station_name
03279,Meuselwitz
03280,Meyenburg
03284,Michelstadt
03287,Michelstadt-Vielbrunn
03289,Schmieritz-Weltwitz
03293,Mindelheim
03297,Krümmel
03304,Freienbessingen
03307,Mittenwald-Buckelwiesen
03308,Mittenwalde/Uckermark
03319,Röllbach
03321,Mönchengladbach-Hilderath
03339,Monschau-Kalterherberg
03340,Montabaur
03342,Moormerland-Neermoor
03348,Moringen-Lutterbeck
03362,Mühlacker
03364,Drei Gleichen-Mühlberg
03366,Mühldorf
03376,Müncheberg
03379,München-Stadt
03390,München-Riem
03402,Münsingen-Apfelstetten
03404,Münster
03413,Münzenberg-Gambach
03418,Ehingen-Kirchen
03426,"Muskau, Bad"
03429,Nabburg (Flussmeisterstelle)
03432,Nagold
03435,Nandlstadt
03438,Nassenfels
03440,Nattheim-Fleinheim
03442,"Nauheim, Bad"
03443,Naumburg-Altenstädt
03445,Naundorf bei Seyda
03448,Neckargemünd-Kleingemünd
03473,Neuruppin-Gühlen Glienicke
03477,Neubiberg
03478,Neubrandenburg
03484,Neuburg/Donau (Flugplatz)
03485,Neuburg/Kammel-Langenhaslach
03490,"Neuenahr, Bad-Ahrweiler"
03491,Judenbach-Neuenbau
03497,Ludwigschorgast
03499,Neuenrade-Blintrop
03509,Menz
03513,Neuhaus am Rennweg
03518,Neuhausen ob Eck
03519,Neuhausen ob Eck-Unterschwandorf
03525,Neukirchen bei Heiligen Blut
03527,Neukirchen-Hauptschwenda
03535,Neumarkt-Sankt Veit (Kläranlage)
03536,Neumarkt/Oberpfalz
03538,Neumünster-Wasbek
03540,Neunkirchen-Seelscheid-Krawinkel
03545,Neunkirchen-Wellesweiler
03552,Neuruppin
03558,Neustadt am Rübenberge
03560,"Neustadt, Bad"
03564,Neustadt-Glewe-Friedrichsmoor
03571,Neustadt am Kulm-Filchendorf
03572,Neustadt bei Coburg (Kläranlage)
03575,Neustadt/Weinstraße
03584,Newel
03589,Nidderau-Erbstadt
03591,Nideggen-Schmidt
03602,Oberstadtfeld
03603,Niederstetten
03607,Loiching
03612,Nienburg
03616,Hachenburg/Westerwaldkreis
03617,Nittenau-Harting
03621,Reimlingen
03623,Nörvenich (Flugplatz)
03625,Nohfelden-Gonnesweiler
03631,Norderney
03639,Nordholz (Flugplatz)
03650,Northeim-Imbshausen
03659,Nürburg
03660,Nürburg-Barweiler
03667,Nürnberg-Netzstall
03668,Nürnberg
03677,Oberammergau
03679,Kiefersfelden-Gach
03681,Oberaurach-Fatschenbrunn
03690,Oberharmersbach
03700,Oberleichtersbach-Modlos
03704,Oberndorf/Neckar
03714,Oberreute
03722,Oberschleißheim
03729,Oberstaufen-Thalkirchdorf
03730,Oberstdorf
03733,Oberstenfeld-Prevorst
03734,Obersulm-Willsbach
03739,Oberviechtach
03740,Lohmen/Sachsen
03761,Öhringen
03775,Offenbach/Main (Zentrallabor)
03791,Oldenburg
03795,Olfen
03802,Oppenau
03811,Oschatz
03815,Osnabrück
03820,Ostercappeln-Schwagstorf
03821,Osterfeld
03836,Ostheim v.d. Rhön
03844,Ottenstein
03848,Ottersberg-Otterstedt
03849,Ottobeuren
03853,Ovelgönne
03857,Oy-Mittelberg-Petersthal
03868,Papenburg-Weißenburg
03873,Parow (Flugplatz)
03875,Parsberg/Oberpfalz-Eglwang
03879,Passau-Oberhaus
03881,Passow
03886,Pegnitz (Kläranlage)
03897,Pelzerhaken
03904,Perl-Nennig
03906,Perleberg
03911,Petersberg-Marbach
03913,Petershagen
03919,Pfarrkirchen
03921,Pferdsfeld
03925,Pforzheim-Ispringen
03927,Pfullendorf
03939,Pirmasens
03945,Plau am See
03946,Plauen
03948,Plech
03950,Pleinfeld-Mandlesmühle
03960,Pocking
03965,Süderholz-Neuendorf
03967,Pohlitz
03969,"Polch, Kr. Mayen-Koblenz"
03972,Polsingen-Döckingen
03975,Pommelsbrunn-Mittelburg
03987,Potsdam
03997,Preschen (Flugplatz)
03999,Pressath-Mühlberg
04000,Presseck
04016,Prosselsheim-Seligenstadt
04017,Prüm-Watzerath
04023,Pulsnitz
04024,Putbus
04026,Puttgarden
04032,Quedlinburg
04036,Querfurt-Mühle Lodersleben
04039,Quickborn
04052,Kemberg-Radis
04063,Rahden-Kleinendorf
04065,Rain am Lech-Wallerdorf
04078,Rastede
04080,Rathebur
04090,Raunheim
04094,"Weingarten, Kr. Ravensburg"
04101,Redefin
04104,Regensburg
04109,Rehau
04112,Rehburg-Loccum
04127,Reichshof-Eckenhagen
04132,Reinhardshagen-Vaake
04134,Reinheim
04135,Reinholterode
04150,Reken-Groß Reken
04154,Remscheid-Lennep
04159,Tagmersheim-Blossenau
04160,Renningen-Ihinger Hof
04167,Rhaunen
04169,Rheinau-Memprechtshofen
04174,Rheine-Bentlage
04175,Rheinfelden
04177,Rheinstetten
04185,Riedenburg
04189,"Altheim, Kreis Biberach"
04190,Riedlingen (A)
04211,"Rippoldsau, Bad"
04218,Rodach (Kläranlage)
04219,Rodder
04224,Roding-Neubäu
04230,Rödermark-Ober-Roden
04248,Rohr/Mittelfranken-Dechendorf
04251,Oberstdorf-Rohrmoos
04261,Rosenheim
04271,Rostock-Warnemünde
04275,Rotenburg (Wümme)
04280,Roth
04281,Rothaargebirge
04282,Rothemühl
04287,Rothenburg ob der Tauber
04288,"Rothenfelde, Bad"
04290,Rothenklempenow
04294,Rottenburg-Kiebingen
04300,Rottweil
04301,"Kreuznach, Bad"
04303,Ruderting
04308,Rüdesheim-Presberg
04310,Rülzheim
04313,Rüthen
04315,Baiersbronn-Ruhestein
04323,Ruppertsecken
04336,Saarbrücken-Ensheim
04347,"Sachsa, Bad"
04349,Sachsenheim
04351,"Säckingen, Bad (Bergseestr.)"
04352,Sagard
04354,Saldenburg-Entschenreuth
04367,Salzhemmendorf-Lauenstein
04368,Salzkotten
04371,"Salzuflen, Bad"
04374,Samerberg-Geisenkam
04377,Sandberg
04387,Sankt Englmar
04393,Sankt Peter-Ording
04400,"Sassendorf, Bad-Beusingsen"
04405,Satrup
04411,Schaafheim-Schlierbach
04412,Schackensleben
04413,Schäftlarn-Kloster Schäftlarn
04441,Scheyern
04445,Wernigerode-Schierke
04464,Schleiz
04466,Schleswig
04469,Schleusingen
04480,Schlüchtern-Herolz
04485,"Schmalkalden, Kurort"
04488,Schmallenberg-Sellinghausen
04490,Schmelz-Hüttersdorf
04493,Schmidgaden
04494,Schmidmühlen
04501,Schmücke
04508,Schneifelforsthaus
04546,Schönsee-Dietersdorf
04548,Selb/Oberfranken-Lauterbach
04555,Schollene
04559,Schorndorf-Knöbling
04560,Schotten
04566,Schrepkow
04567,Schrobenhausen
04579,Schwabmünchen
04592,Schwandorf
04594,Schwanewede-Neuenkirchen
04599,Wendelstein-Kleinschwarzenlohe
04600,Schwarme
04601,Essel
04602,"Schwartau,Bad -Groß Parin"
04603,Schwarzach/Main (Klärwerk)
04605,Schwarzburg
04617,Obere Firstalm/Schlierseer Berge
04618,Schwarzholz
04623,"Schwenningen, Kreis Sigmaringen"
04625,Schwerin
04629,Schwesing
04637,Staaken
04641,Seeg (Kläranlage)
04642,Seehausen
04650,"Seesbach, Kr. Bad Kreuznach"
04651,Seesen
04655,Seewald-Besenfeld
04666,Köhn
04672,"Selters, Westerwaldkreis"
04683,Fürstenau
04692,Siegen (Kläranlage)
04694,Siegenburg (Kläranlage)
04702,Sigmaringen (Flugplatz)
04703,Sigmaringen-Laiz
04704,Sigmarszell-Zeisertsweiler
04706,Simbach/Inn
04709,Simmern-Wahlbach
04710,Simmersfeld
04712,Simonswald-Obersimonswald
04719,Sinsheim
04741,Solingen-Hohenscheid
04745,Soltau
04748,Sondershausen
04752,Sonneberg-Neufang
04755,Sonnen
04760,Sonthofen (Flussmeisterstelle)
04763,Sontra
04790,Springe
04801,Stadelhofen
04803,Butjadingen-Inte
04816,Stallwang
04818,Stammbach-Querenbach
04827,Grassau
